Gene,Fold_Change,P_Value,Significant,log2FC,-log10P
201327_s_at,,,False,,
201328_at,,,False,,
201329_s_at,,,False,,
201330_at,,,False,,
201331_s_at,,,False,,
201332_s_at,,,False,,
201333_s_at,,,False,,
201334_s_at,,,False,,
201335_s_at,,,False,,
201336_at,,,False,,
201337_s_at,,,False,,
201338_x_at,,,False,,
201339_s_at,,,False,,
201340_s_at,,,False,,
201341_at,,,False,,
201342_at,,,False,,
201343_at,,,False,,
201344_at,,,False,,
201345_s_at,,,False,,
201346_at,,,False,,
201347_x_at,,,False,,
201348_at,,,False,,
201349_at,,,False,,
201350_at,,,False,,
201351_s_at,,,False,,
201352_at,,,False,,
201353_s_at,,,False,,
201354_s_at,,,False,,
201355_s_at,,,False,,
201356_at,,,False,,
201357_s_at,,,False,,
201358_s_at,,,False,,
201359_at,,,False,,
201360_at,,,False,,
201361_at,,,False,,
201362_at,,,False,,
201363_s_at,,,False,,
201364_s_at,,,False,,
201365_at,,,False,,
201366_at,,,False,,
201367_s_at,,,False,,
201368_at,,,False,,
201369_s_at,,,False,,
201370_s_at,,,False,,
201371_s_at,,,False,,
201372_s_at,,,False,,
201373_at,,,False,,
201374_x_at,,,False,,
201375_s_at,,,False,,
201376_s_at,,,False,,
201377_at,,,False,,
201378_s_at,,,False,,
201379_s_at,,,False,,
201380_at,,,False,,
201381_x_at,,,False,,
201382_at,,,False,,
201383_s_at,,,False,,
201384_s_at,,,False,,
201385_at,,,False,,
201386_s_at,,,False,,
201387_s_at,,,False,,
201388_at,,,False,,
201389_at,,,False,,
201390_s_at,,,False,,
201391_at,,,False,,
201392_s_at,,,False,,
201393_s_at,,,False,,
201394_s_at,,,False,,
201395_at,,,False,,
201396_s_at,,,False,,
201397_at,,,False,,
201398_s_at,,,False,,
201399_s_at,,,False,,
201400_at,,,False,,
201401_s_at,,,False,,
201402_at,,,False,,
201403_s_at,,,False,,
201404_x_at,,,False,,
201405_s_at,,,False,,
201406_at,,,False,,
201407_s_at,,,False,,
201408_at,,,False,,
201409_s_at,,,False,,
201410_at,,,False,,
201411_s_at,,,False,,
201412_at,,,False,,
201413_at,,,False,,
201414_s_at,,,False,,
201415_at,,,False,,
201416_at,,,False,,
201417_at,,,False,,
201418_s_at,,,False,,
201419_at,,,False,,
201420_s_at,,,False,,
201421_s_at,,,False,,
201422_at,,,False,,
201423_s_at,,,False,,
201424_s_at,,,False,,
201425_at,,,False,,
201426_s_at,,,False,,
201427_s_at,,,False,,
201428_at,,,False,,
201429_s_at,,,False,,
201430_s_at,,,False,,
201431_s_at,,,False,,
201432_at,,,False,,
201433_s_at,,,False,,
201434_at,,,False,,
201435_s_at,,,False,,
201436_at,,,False,,
201437_s_at,,,False,,
201438_at,,,False,,
201439_at,,,False,,
201440_at,,,False,,
201441_at,,,False,,
201442_s_at,,,False,,
201443_s_at,,,False,,
201444_s_at,,,False,,
201445_at,,,False,,
201446_s_at,,,False,,
201447_at,,,False,,
201448_at,,,False,,
201449_at,,,False,,
201450_s_at,,,False,,
201451_x_at,,,False,,
201452_at,,,False,,
201453_x_at,,,False,,
